"Departamento","Provincia","Distrito","conSeguro_Total","analfa_Total","indep_Total","poblacion_Total"
"Junín","Tarma","Tapo",1754,16.23,67.37,5919
"Junín","Tarma","Tarma",14184,5.53,39.73,50165
"Junín","Yauli","Chacapalpa",291,7.75,26.58,918
"Junín","Yauli","Huay-Huay",1099,3.12,18.67,1675
"Junín","Yauli","La oroya",10332,2.78,27.18,18606
"Junín","Yauli","Marcapomacocha",492,4.27,26.41,1267
"Junín","Yauli","Morococha",3783,2.01,11.33,5397
"Junín","Yauli","Paccha",812,4.68,29.24,1883
"Junín","Yauli","Santa Barbara de Carhuacayán",498,11.21,15.1,1935
"Junín","Yauli","Santa Rosa de Sacco",5963,2.71,27.61,11297
"Junín","Yauli","Suitucancha",339,3.14,47.46,907
"Junín","Yauli","Yauli",4258,1.75,11.07,5953
"La Libertad","Ascope","Ascope",3318,6.39,31.58,7012
"La Libertad","Ascope","Casa Grande",16961,4.71,26.44,29884
"La Libertad","Ascope","Chicama",8874,6.35,29.58,15056
"La Libertad","Ascope","Chocope",6008,5.31,24.44,10138
"La Libertad","Ascope","Magdalena de Cao",1805,7.08,18.53,2884
"La Libertad","Ascope","Paiján",9691,6.79,33.51,23194
"La Libertad","Ascope","Rázuri",3787,5.18,26.72,8330
"La Libertad","Ascope","Santiago de Cao",10490,4.45,26.48,19731
"La Libertad","Bolívar","Bambamarca",2295,20.28,54.53,3537
"La Libertad","Bolívar","Bolívar",3055,12.72,50.66,4751
"La Libertad","Bolívar","Condormarca",1133,12.35,59.28,2222
"La Libertad","Bolívar","Longotea",1225,9.36,35.79,2306
"La Libertad","Bolívar","Uchumarca",1404,8.83,50.32,2888
"La Libertad","Bolívar","Ucuncha",563,12.5,43.82,946
"La Libertad","Chepén","Chepán",16515,5.88,32.32,45639
"La Libertad","Chepén","Pacanga",7071,10.43,24.78,17976
"La Libertad","Chepén","Pueblo Nuevo",4896,9.1,19,12365
"La Libertad","Gran Chimú","Cascas",5180,10.69,42.14,14191
"La Libertad","Gran Chimú","Compín",895,13.59,49.03,2441
"La Libertad","Gran Chimú","Lucma",3286,12.8,57.27,5774
"La Libertad","Gran Chimú","Sayapullo",3537,14.04,36.41,7993
"La Libertad","Julcán","Calamarca",3531,17.8,52.8,6446
"La Libertad","Julcán","Carabamba",4910,16.73,70.94,7104
"La Libertad","Julcán","Huaso",3173,17.63,73.05,6423
"La Libertad","Julcán","Julcán",7738,17.43,67.44,13012
"La Libertad","Otuzco","Agallpampa",6660,18.68,64.67,9802
"La Libertad","Otuzco","Charat",1383,11.22,23.59,3095
"La Libertad","Otuzco","Huaranchal",1755,12.86,53.02,5087
"La Libertad","Otuzco","La Cuesta",472,11.61,19.7,708
"La Libertad","Otuzco","Mache",2101,11.64,46.41,3195
"La Libertad","Otuzco","Otuzco",7141,12.21,50.81,25265
"La Libertad","Otuzco","Paranday",456,11.09,59.11,689
"La Libertad","Otuzco","Salpo",4024,12.69,57.24,6437
"La Libertad","Otuzco","Sinsicap",4127,21.94,62.2,8271
"La Libertad","Otuzco","Usquil",8054,18.91,64.28,26268
"La Libertad","Pacasmayo","Guadalupe",11559,7.74,27.11,37239
"La Libertad","Pacasmayo","Jequetepeque",2001,7.55,16.81,3457
"La Libertad","Pacasmayo","Pacasmayo",12650,2.92,25.71,26118
"La Libertad","Pacasmayo","San José",2980,9.02,21.02,11414
"La Libertad","Pacasmayo","San Pedro de Lloc",8580,4.58,20.46,16149
"La Libertad","Pataz","Buldibuyo",957,16.43,60.23,3836
"La Libertad","Pataz","Chillia",4324,32.24,66.36,12043
"La Libertad","Pataz","Huancaspata",2037,25.79,67.24,6352
"La Libertad","Pataz","Huaylillas",416,17.83,61.79,2338
"La Libertad","Pataz","Huayo",1622,25.4,68.71,4145
"La Libertad","Pataz","Ongon",810,30.76,72.97,1694
"La Libertad","Pataz","Parcoy",8014,10.64,18.5,16437
"La Libertad","Pataz","Patáz",2068,10.05,34.86,7410
"La Libertad","Pataz","Pias",358,17.9,19.88,1525
"La Libertad","Pataz","Santiago de Challas",1034,21.5,64.56,2797
"La Libertad","Pataz","Taurija",1244,24.08,63.83,3002
"La Libertad","Pataz","Tayabamba",5221,23.09,51.25,13785
"La Libertad","Pataz","Urpay",1885,23.59,64.76,3019
"La Libertad","Sánchez Carrión","Chugay",9044,30.26,64.4,17236
"La Libertad","Sánchez Carrión","Cochorco",5007,24.69,39.9,8751
"La Libertad","Sánchez Carrión","Curgos",3471,28.37,53.48,8181
"La Libertad","Sánchez Carrión","Huamachuco",20141,22.47,44.59,52459
"La Libertad","Sánchez Carrión","Marcabal",7133,36.16,66.51,14807
"La Libertad","Sánchez Carrión","Sanagorán",6471,36.76,43.4,12983
"La Libertad","Sánchez Carrión","Sarín",4652,30.75,65.44,9156
"La Libertad","Sánchez Carrión","Sartimbamba",5657,35.17,57.61,12648
"La Libertad","Santiago de Chuco","Angasmarca",2939,15.5,17.57,6052
"La Libertad","Santiago de Chuco","Cachicadán",2806,15.01,34.09,6663
"La Libertad","Santiago de Chuco","Mollebamba",729,15.71,29.33,1955
"La Libertad","Santiago de Chuco","Mollepata",1024,21.94,65.68,2748
"La Libertad","Santiago de Chuco","Quiruvilca",7446,12.77,30.54,14060
"La Libertad","Santiago de Chuco","Santa Cruz de Chuca",1473,14.69,64.11,3228
"La Libertad","Santiago de Chuco","Santiago de Chuco",8787,11.86,58.03,19860
"La Libertad","Santiago de Chuco","Sitabamba",2061,23.82,44.76,3754
"La Libertad","Trujillo","El Porvenir",42314,5.63,34.63,140507
"La Libertad","Trujillo","Florencia de Mora",11242,5.5,38.09,40014
"La Libertad","Trujillo","Huanchaco",15433,4.35,32.34,44806
"La Libertad","Trujillo","La Esperanza",51512,4.06,31.83,151845
"La Libertad","Trujillo","Laredo",13431,5.94,33.07,32825
"La Libertad","Trujillo","Moche",14067,4.06,26.91,29727
"La Libertad","Trujillo","Poroto",905,11.36,49.69,3601
"La Libertad","Trujillo","Salaverry",7791,3.25,24,13892
"La Libertad","Trujillo","Simbal",1689,10.93,51.17,4082
"La Libertad","Trujillo","Trujillo",131695,1.67,20.83,294899
"La Libertad","Trujillo","Victor Larco Herrera",27881,2.08,20.81,55781
"La Libertad","Virú","Chao",9341,8.32,24.61,22826
"La Libertad","Virú","Guadalupito",3110,9.93,35.35,6232
"La Libertad","Virú","Virú",19831,7.97,23.8,47652
"Lambayeque","Chiclayo","Cayalti",9998,8.7,31.14,16557
"Lambayeque","Chiclayo","Chiclayo",122301,2.31,26.08,260948
"Lambayeque","Chiclayo","Chongoyape",10453,8.43,19.7,17540
"Lambayeque","Chiclayo","Etén",4514,11.87,50.5,10673
"Lambayeque","Chiclayo","Etén Puerto",1464,1.19,27.63,2238
"Lambayeque","Chiclayo","José Leonardo Ortiz",52310,4.74,44.15,161717
"Lambayeque","Chiclayo","La Victoria",30086,4.35,34.34,77699
"Lambayeque","Chiclayo","Lagunas",4865,7.53,28.07,9351
"Lambayeque","Chiclayo","Monsefu",8070,11.08,46.98,30123
"Lambayeque","Chiclayo","Nueva Arica",1364,7.31,10.7,2420
"Lambayeque","Chiclayo","Oyotún",5368,9.25,18.11,9954
"Lambayeque","Chiclayo","Patapo",12129,10.24,27.53,20876
"Lambayeque","Chiclayo","Picsi",4899,6.51,36.95,8942
"Lambayeque","Chiclayo","Pimentel",14004,3.13,27,32346
"Lambayeque","Chiclayo","Pomalca",13937,6.64,32.05,23092
"Lambayeque","Chiclayo","Pucalá",6097,6.06,25.68,9272
"Lambayeque","Chiclayo","Reque",5002,5.83,33.98,12606
"Lambayeque","Chiclayo","Saña",8050,7.95,26.3,12013
"Lambayeque","Chiclayo","Santa Rosa",4179,4.73,42.4,10965
"Lambayeque","Chiclayo","Tuman",16167,5.89,24.61,28120
"Lambayeque","Ferreñafe","Cañaris",6548,39.02,48.9,13038
"Lambayeque","Ferreñafe","Ferreñafe",13844,4.96,27.23,32665
"Lambayeque","Ferreñafe","Incahuasi",8706,33.16,49.71,14230
"Lambayeque","Ferreñafe","Manuel Antonio Mesones Muro",2128,8.73,19.69,4083
"Lambayeque","Ferreñafe","Pitipo",11361,13.21,20.27,20080
"Lambayeque","Ferreñafe","Pueblo Nuevo",5194,6.11,28.46,12046
"Lambayeque","Lambayeque","Chóchope",806,18.56,32.77,1231
"Lambayeque","Lambayeque","Illimo",5018,7.13,30.81,9107
"Lambayeque","Lambayeque","Jayanca",8716,9.11,25.1,15042
"Lambayeque","Lambayeque","Lambayeque",28592,5.14,25.37,63386
"Lambayeque","Lambayeque","Mochumí",7302,9.43,21.91,18043
"Lambayeque","Lambayeque","Mórrope",22237,12.76,22.82,39174
"Lambayeque","Lambayeque","Motupe",10899,6.59,29.11,24011
"Lambayeque","Lambayeque","Olmos",14891,13.68,35.8,36595
"Lambayeque","Lambayeque","Pacora",3698,8.89,24.31,6795
"Lambayeque","Lambayeque","Salas",6303,23,41.18,12998
"Lambayeque","Lambayeque","San José",4516,4.19,41.83,12078
"Lambayeque","Lambayeque","Túcume",8216,8.65,30.84,20814
"Lima","Barranca","Barranca",19833,4.71,35.4,61178
"Lima","Barranca","Paramonga",11738,6.25,34.1,24009
"Lima","Barranca","Pativilca",6786,9.22,32.46,17108
"Lima","Barranca","Supe",8332,6.11,27.52,20512
"Lima","Barranca","Supe Puerto",5606,4.5,30.69,11097
"Lima","Cajatambo","Cajatambo",1134,12.17,39.78,2790
"Lima","Cajatambo","Copa",414,19.5,34.55,990
"Lima","Cajatambo","Gorgor",749,6.8,49.05,2275
"Lima","Cajatambo","Huancapón",418,10.33,28.19,1225
"Lima","Cajatambo","Manás",415,3.35,42.39,1078
"Lima","Cañete","Asia",2942,2.76,20.99,6618
"Lima","Cañete","Calango",675,2.55,22.19,2224
"Lima","Cañete","Cerro Azul",3567,3.61,27.05,6893
"Lima","Cañete","Chilca",6044,2.8,27.34,14559
"Lima","Cañete","Coayllo",303,1.69,45.59,1031
"Lima","Cañete","Imperial",14557,4.22,30.59,36340
"Lima","Cañete","Lunahuaná",2304,2.08,39.45,4567
"Lima","Cañete","Mala",12892,3.02,30.06,27881
"Lima","Cañete","Nuevo Imperial",7196,4.78,23.94,19026
"Lima","Cañete","Pacarán",911,3.72,26.44,1687
"Lima","Cañete","Quilmaná",6768,4.46,22.83,13663
"Lima","Cañete","San Antonio",1877,1.87,28.22,3640
"Lima","Cañete","San Luis",5948,5.95,22.76,11940
"Lima","Cañete","San Vicente de Cañete",20949,4.21,26.37,46464
"Lima","Cañete","Santa Cruz de Flores",1231,2.23,30.34,2547
"Lima","Cañete","Zuñiga",961,2.87,15.45,1582
"Lima","Canta","Arahuay",225,1.87,54.24,686
"Lima","Canta","Canta",1295,4.19,37.29,2978
"Lima","Canta","Huamantanga",393,2.87,50.17,1265
"Lima","Canta","Huaros",335,5.18,54.44,921
"Lima","Canta","Lachaqui",303,5.39,34.4,985
"Lima","Canta","San Buenaventura",142,3.13,40.12,505
"Lima","Canta","Santa Rosa de Quives",2100,7.19,24.64,6173
"Lima","Huaral","Atavillos Alto",372,2.43,28.46,976
"Lima","Huaral","Atavillos Bajo",291,2.66,47,1374
"Lima","Huaral","Aucallama",6091,8.2,23.45,16195
"Lima","Huaral","Chancay",23435,5.97,30.49,49932
"Lima","Huaral","Huaral",25196,4.95,33.36,88558
"Lima","Huaral","Ihuarí",604,6.77,54.37,2671
"Lima","Huaral","Lampían",88,3.83,63.5,519
"Lima","Huaral","Pacaraos",133,4.71,29.43,747
"Lima","Huaral","San Miguel de Acos",173,3.55,37.5,754
"Lima","Huaral","Santa Cruz de Andamarca",283,3.12,34.12,1219
"Lima","Huaral","Sumbilca",212,3.4,46.32,1171
"Lima","Huaral","Veintisiete de Noviembre",73,8.1,53.88,544
"Lima","Huarochirí","Antioquía",514,4.46,38.08,1376
"Lima","Huarochirí","Callahuanca",1024,0.73,35.9,2405
"Lima","Huarochirí","Carampoma",442,3.92,38.28,1161
"Lima","Huarochirí","Chicla",5402,1.61,6.14,7194
"Lima","Huarochirí","Cuenca",131,1.87,58.16,392
"Lima","Huarochirí","Huachupampa",445,0.9,47.27,1566
"Lima","Huarochirí","Huanza",551,5.13,66.53,1856
"Lima","Huarochirí","Huarochirí",532,5.39,45.29,1590
"Lima","Huarochirí","Lahuaytambo",290,3.18,55.8,837
"Lima","Huarochirí","Langa",442,4.32,61.71,1056
"Lima","Huarochirí","Laraos",261,3.37,46.88,1234
"Lima","Huarochirí","Mariatana",531,3.14,58,1419
"Lima","Huarochirí","Matucana",1970,2.59,39.41,4508
"Lima","Huarochirí","Ricardo Palma",2397,2.91,26.48,5769
"Lima","Huarochirí","San Andrés de Tupicocha",283,5.74,50.08,1423
"Lima","Huarochirí","San Antonio",647,3.12,61.15,4516
"Lima","Huarochirí","San Bartolomé",631,1.9,38.14,1793
"Lima","Huarochirí","San Damián",317,2.79,56.88,1489
"Lima","Huarochirí","San Juan de Iris",120,1.34,49.64,1010
"Lima","Huarochirí","San Juan de Tantaranche",224,2.92,36.36,484
"Lima","Huarochirí","San Lorenzo de Quinti",337,4.17,51.66,1681
"Lima","Huarochirí","San Mateo",2752,4.03,23.77,5280
"Lima","Huarochirí","San Mateo de Otao",312,1.69,54.51,1833
"Lima","Huarochirí","San Pedro de Casta",501,3.52,52.64,1195
"Lima","Huarochirí","San Pedro de Huancayre",135,6.9,47.29,262
"Lima","Huarochirí","Sangallaya",216,7.37,40.93,678
"Lima","Huarochirí","Santa Cruz de Cocachacra",1045,4.3,34.98,2302
"Lima","Huarochirí","Santa Eulalia",4364,2.99,27.26,10591
"Lima","Huarochirí","Santiago de Anchucaya",442,7.69,40.17,575
"Lima","Huarochirí","Santiago de Tuna",75,3.68,72.24,666
"Lima","Huarochirí","Santo Domingo de los Olleros",997,2.41,45.11,2906
"Lima","Huarochirí","Surco",533,2.42,49.42,1798
"Lima","Huaura","Ambar",1001,7.8,53.15,2825
"Lima","Huaura","Caleta de Carquín",2405,2.76,49.61,6091
"Lima","Huaura","Checras",422,13.26,55.86,1492
"Lima","Huaura","Huacho",27528,1.56,25.28,55442
"Lima","Huaura","Hualmay",10914,2.35,38.98,26808
"Lima","Huaura","Huaura",11904,6.93,29.68,31212
"Lima","Huaura","Leoncio Prado",566,5.4,39.84,2012
"Lima","Huaura","Paccho",437,5,63.17,2055
"Lima","Huaura","Santa Leonor",435,4.72,50.21,1521
"Lima","Huaura","Santa María",11431,2.66,35.67,27699
"Lima","Huaura","Sayán",10958,8.46,23.32,21962
"Lima","Huaura","Vegueta",8200,6.27,29,18265
"Lima","Lima","Ancón",11713,2.16,31.26,33367
"Lima","Lima","Ate",161645,2.47,30.5,478278
"Lima","Lima","Barranco",20115,0.65,15.85,33903
"Lima","Lima","Breña",42915,0.76,19.4,81909
"Lima","Lima","Carabayllo",75350,2.73,32.28,213386
"Lima","Lima","Chaclacayo",19755,2.49,22.36,41110
"Lima","Lima","Chorrillos",131004,1.9,24.69,286977
"Lima","Lima","Cieneguilla",8829,4.06,24.9,26725
"Lima","Lima","Comas",184757,1.93,27.31,486977
"Lima","Lima","El Agustino",61981,2.81,36.34,180262
"Lima","Lima","Independencia",78404,2.47,28.53,207647
"Lima","Lima","Jesús Maria",42989,0.47,10.63,66171
"Lima","Lima","La Molina",91545,0.65,9.25,132498
"Lima","Lima","La victoria",74872,1.38,31.02,192724
"Lima","Lima","Lima",142004,1.35,24.43,299493
"Lima","Lima","Lince",32770,0.44,14.13,55242
"Lima","Lima","Los Olivos",134062,1.36,24.29,318140
"Lima","Lima","Lurigancho",63074,3.23,26.3,169359
"Lima","Lima","Lurin",24560,2.73,29.73,62940
"Lima","Lima","Magdalena del Mar",31578,0.79,13.02,50764
"Lima","Lima","Magdalena Vieja",48149,0.52,11.89,74164
"Lima","Lima","Miraflores",61226,0.29,8.14,85065
"Lima","Lima","Pachacamac",21544,3.36,26.81,68441
"Lima","Lima","Pucusana",3779,1.98,36.9,10633
"Lima","Lima","Puente Piedra",69803,2.83,29.58,233602
"Lima","Lima","Punta Hermosa",2392,1.78,22.85,5762
"Lima","Lima","Punta Negra",2464,1.74,23.6,5284
"Lima","Lima","Rimac",76512,1.61,26.02,176169
"Lima","Lima","San Bartolo",3130,2.88,21.27,5812
"Lima","Lima","San Borja",74779,0.48,7.98,105076
"Lima","Lima","San isidro",44476,0.33,5.85,58056
"Lima","Lima","San Juan de Lurigancho",281511,2.13,29.76,898443
"Lima","Lima","San Juan de Miraflores",135595,2.38,26,362643
"Lima","Lima","San Luis",24012,0.98,22.91,54634
"Lima","Lima","San Martin de Porres",243355,1.36,23.3,579561
"Lima","Lima","San Miguel",80225,0.59,13.66,129107
"Lima","Lima","Santa Anita",62550,2.19,30.66,184614
"Lima","Lima","Santa Maria del Mar",398,2.99,16.03,761
"Lima","Lima","Santa Rosa",4641,1.59,26.67,10903
"Lima","Lima","Santiago de Surco",195861,0.57,11.15,289597
"Lima","Lima","Surquillo",49543,0.77,18,89283
"Lima","Lima","Villa el Salvador",134447,2.21,30.88,381790
"Lima","Lima","Villa Maria del Triunfo",129657,2.49,29.55,378470
"Lima","Oyón","Andajes",181,14.71,45.4,1028
"Lima","Oyón","Caujul",345,6.43,37.24,917
"Lima","Oyón","Cochamarca",576,8.25,50.17,1490
"Lima","Oyón","Naván",343,3.79,48.1,1074
"Lima","Oyón","Oyón",6922,7.09,19.76,12812
"Lima","Oyón","Pachangara",1167,5.6,38.79,3321
"Lima","Yauyos","Alis",1284,0.7,4.49,1519
"Lima","Yauyos","Ayauca",1023,2.41,23.64,1773
"Lima","Yauyos","Ayaviri",325,4.59,36.96,752
"Lima","Yauyos","Azángaro",138,7.56,57.03,603
"Lima","Yauyos","Cacra",231,10.09,56.56,544
"Lima","Yauyos","Carania",87,3.91,33.11,330
"Lima","Yauyos","Catahuasi",363,5.83,43.77,1090
"Lima","Yauyos","Chocos",313,15.41,57.44,1074
"Lima","Yauyos","Cochas",76,2.63,60.43,293
"Lima","Yauyos","Colonia",517,2.49,53.71,1439
"Lima","Yauyos","Hongos",240,11.28,60.45,435
"Lima","Yauyos","Huampara",89,2.58,48.2,256
"Lima","Yauyos","Huancaya",75,1.58,51.17,1001
"Lima","Yauyos","Huañec",179,3.25,50,467
"Lima","Yauyos","Huangáscar",257,11.74,46.18,668
"Lima","Yauyos","Huantán",299,5.06,48.74,926
"Lima","Yauyos","Laraos",462,4.16,21.3,960
"Lima","Yauyos","Lincha",204,10.07,50.22,771
"Lima","Yauyos","Madean",340,10.06,61.82,822
"Lima","Yauyos","Miraflores",170,2.56,25.29,441
"Lima","Yauyos","Omas",301,3.68,49.25,656
"Lima","Yauyos","Putinza",184,2.56,59.04,452
"Lima","Yauyos","Quinches",351,5.15,52.73,1064
"Lima","Yauyos","Quinocay",254,3.16,49.38,608
"Lima","Yauyos","San Joaquín",36,0.77,43.37,320
"Lima","Yauyos","San Pedro de Pilas",184,5.52,50.27,418
"Lima","Yauyos","Tanta",155,6.71,30.25,500
"Lima","Yauyos","Tauripampa",197,2.04,65.7,573
"Lima","Yauyos","Tomas",386,1.24,21.05,1077
"Lima","Yauyos","Tupe",349,13.08,62.2,655
"Lima","Yauyos","Viñac",687,13.89,54.95,1791
"Lima","Yauyos","Vitis",162,1.36,34.54,525
"Lima","Yauyos","Yauyos",1013,2.07,32.75,2698
"Loreto","Alto Amazonas","Balsapuerto",7827,36.03,34.24,13868
"Loreto","Alto Amazonas","Jeberos",2456,20.39,46.56,4198
"Loreto","Alto Amazonas","Lagunas",9517,8.34,56.21,13270
"Loreto","Alto Amazonas","Santa Cruz",2416,12.04,57.26,4094
"Loreto","Alto Amazonas","Teniente César López Rojas",3627,9.27,54.79,5892
"Loreto","Alto Amazonas","Yurimaguas",30691,5.66,41.3,63345
"Loreto","Datem del Marañón","Andoas",5239,32.17,44.41,9375
"Loreto","Datem del Marañón","Barranca",6271,8.61,46.34,11864
"Loreto","Datem del Marañón","Cahuapanas",4077,28.21,54.08,6822
"Loreto","Datem del Marañón","Manseriche",6004,13.51,52.15,9017
"Loreto","Datem del Marañón","Morona",4190,18.35,59.8,6356
"Loreto","Datem del Marañón","Pastaza",3397,17.99,59.93,6137
"Loreto","Loreto","Nauta",15584,5.85,50.51,28681
"Loreto","Loreto","Parinari",3988,6,57.93,7292
"Loreto","Loreto","Tigre",5086,10.76,48.85,7304
"Loreto","Loreto","Trompeteros",5838,11.85,17.35,7450
"Loreto","Loreto","Urarinas",6475,25.6,55.5,11438
"Loreto","Mariscal Ramón Castilla","Pebas",6049,7.27,53.57,13624
"Loreto","Mariscal Ramón Castilla","Ramón Castilla",9906,9.7,52.68,18783
"Loreto","Mariscal Ramón Castilla","San Pablo",4095,11.22,61.66,12197
"Loreto","Mariscal Ramón Castilla","Yavari",4259,9.37,49.04,10225
"Loreto","Maynas","Alto Nanay",2140,7.53,62.22,2617
"Loreto","Maynas","Belén",32020,2.61,49.18,68806
"Loreto","Maynas","Fernando Lores",8614,5.37,60.18,19127
"Loreto","Maynas","Indíana",6602,5.94,52.24,12198
"Loreto","Maynas","Iquitos",80851,1.34,33.16,159023
"Loreto","Maynas","Las Amazonas",5512,8.9,52.17,10331
"Loreto","Maynas","Mazán",7730,8.01,51,13098
"Loreto","Maynas","Napo",7355,9.7,48.51,14882
"Loreto","Maynas","Punchana",36796,2.29,40.14,76435
"Loreto","Maynas","Putumayo",4385,6.86,42.82,5638
"Loreto","Maynas","San Juan Bautista",49980,2.25,41.23,102076
"Loreto","Maynas","Teniente Manuel Clavero",2595,8.69,56.75,3896
"Loreto","Maynas","Torres Causana",2884,19.3,30.49,4865
"Loreto","Requena","Alto Tapiche",824,8.01,30.46,1947
"Loreto","Requena","Capelo",1828,5.08,54.32,3941
"Loreto","Requena","Emilio San Martín",2402,4.4,60.29,6911
"Loreto","Requena","Jenaro Herrera",2051,4.11,65.66,5116
"Loreto","Requena","Maquía",3495,4.42,62.91,7905
"Loreto","Requena","Puinahua",1740,3.31,47.55,5298
"Loreto","Requena","Requena",11782,3.65,45.42,25987
"Loreto","Requena","Saquena",1461,3.67,44.63,4536
"Loreto","Requena","Soplin",315,3.9,41.05,613
"Loreto","Requena","Tapiche",615,5.74,33.86,1042
"Loreto","Requena","Yaquerana",2062,10.41,47.39,2396
"Loreto","Ucayali","Contamana",11746,3.17,43.59,23184
"Loreto","Ucayali","Inahuaya",1029,3.14,47.24,2143
"Loreto","Ucayali","Padre Márquez",3151,5.94,38.07,5560
"Loreto","Ucayali","Pampa Hermosa",2399,5.18,45.21,7322
"Loreto","Ucayali","Sarayacu",6978,3.45,50.91,15388
"Loreto","Ucayali","Vargas Guerra",3055,3.8,57.26,8219
"Madre de Dios","Manu","Fitzcarrald",650,14.95,46.78,1263
"Madre de Dios","Manu","Huepetuhe",1289,3.52,32.97,6978
"Madre de Dios","Manu","Madre De Dios",1424,2.92,30.97,9404
"Madre de Dios","Manu","Manu",1323,11.69,41.82,2645
"Madre de Dios","Tahuamanu","Iberia",3419,3,26.59,6715
"Madre de Dios","Tahuamanu","Iñapari",398,3.65,29.09,1288
"Madre de Dios","Tahuamanu","Tahuamanu",1414,3.36,22.58,2739
"Madre de Dios","Tambopata","Inambari",2498,4.98,31.24,8038
"Madre de Dios","Tambopata","Laberinto",1405,4.81,40.06,4780
"Madre de Dios","Tambopata","Las Piedras",1924,5.18,50.82,5491
"Madre de Dios","Tambopata","Tambopata",24090,2.18,32.88,60214
"Moquegua","General Sánchez Cerro","Chojata",863,12.41,57.82,2213
"Moquegua","General Sánchez Cerro","Coalaque",451,8.76,45.95,1307
"Moquegua","General Sánchez Cerro","Ichuña",1886,10.65,24.66,4057
"Moquegua","General Sánchez Cerro","La Capilla",744,1.04,26.49,1731
"Moquegua","General Sánchez Cerro","Lloque",700,6.21,35.84,1376
"Moquegua","General Sánchez Cerro","Matalaque",314,6.04,31.21,1033
"Moquegua","General Sánchez Cerro","Omate",1848,2.12,31.54,3900
"Moquegua","General Sánchez Cerro","Puquina",982,7.47,33.93,2979
"Moquegua","General Sánchez Cerro","Quinistaquillas",338,3.56,24.37,1013
"Moquegua","General Sánchez Cerro","Ubinas",1294,9.17,33.48,3725
"Moquegua","General Sánchez Cerro","Yunga",359,8.32,33.13,1570
"Moquegua","Ilo","El Algarrobal",145,0.5,32.72,247
"Moquegua","Ilo","Ilo",29205,2.12,27.9,59132
"Moquegua","Ilo","Pacocha",3326,0.24,5.26,4401
"Moquegua","Mariscal Nieto","Carumas",1417,16,38.4,4816
"Moquegua","Mariscal Nieto","Cuchumbaya",817,16.59,31.55,1990
"Moquegua","Mariscal Nieto","Moquegua",24878,4.3,24.91,49419
"Moquegua","Mariscal Nieto","Samegua",3400,4.61,20.42,6515
"Moquegua","Mariscal Nieto","San Cristóbal",1244,14.6,34.06,3518
"Moquegua","Mariscal Nieto","Torata",3595,6.77,17.65,6591
"Pasco","Daniel Alcides Carrión","Chacayán",1043,15.86,53.57,4008
"Pasco","Daniel Alcides Carrión","Goyllarisquizga",834,6.9,49.42,2505
"Pasco","Daniel Alcides Carrión","Paucar",961,20.58,49.09,2235
"Pasco","Daniel Alcides Carrión","San Pedro de Pillao",413,14.83,19,1701
"Pasco","Daniel Alcides Carrión","Santa Ana de Tusi",3394,10.98,53.73,17204
"Pasco","Daniel Alcides Carrión","Tapuc",1271,15.49,38.73,3976
"Pasco","Daniel Alcides Carrión","Vilcabamba",568,17.21,42.48,1894
"Pasco","Daniel Alcides Carrión","Yanahuanca",5535,9.49,36.52,14280
"Pasco","Oxapampa","Chontabamba",1106,8.02,44.24,3189
"Pasco","Oxapampa","Huancabamba",2211,13.41,52.97,6333
"Pasco","Oxapampa","Oxapampa",5981,6.19,39.58,14190
"Pasco","Oxapampa","Palcazu",3617,6.68,39.11,8810
"Pasco","Oxapampa","Pozuzo",3087,16.73,37.15,7760
"Pasco","Oxapampa","Puerto Bermúdez",9446,12.22,52.78,23028
"Pasco","Oxapampa","Villa Rica",6941,9.4,43.11,18619
"Pasco","Pasco","Chaupimarca",11074,4.29,30.65,27873
"Pasco","Pasco","Huachón",1463,9.92,58.66,4579
"Pasco","Pasco","Huariaca",3769,9.99,35.34,7962
"Pasco","Pasco","Huayllay",6856,3.26,13.38,10617
"Pasco","Pasco","Ninacaca",1011,10.67,58.32,3819
"Pasco","Pasco","Pallanchacra",1161,8.94,40.07,4153
"Pasco","Pasco","Paucartambo",5441,8.35,48.98,20993
"Pasco","Pasco","San Francisco de Asis de Yarusyacán",3932,7.59,34.67,11209
"Pasco","Pasco","Simón Bolívar",7616,4.89,18.62,13681
"Pasco","Pasco","Ticlacayán",1811,13.61,47.91,7543
"Pasco","Pasco","Tinyahuarco",3624,3.47,18.35,5962
"Pasco","Pasco","Vicco",931,7.08,30.36,2730
"Pasco","Pasco","Yanacancha",15530,3.9,20.21,29596
"Piura","Ayabaca","Ayabaca",12109,15.33,60.13,38730
"Piura","Ayabaca","Frías",10503,26.72,61.18,23005
"Piura","Ayabaca","Jilili",1047,15.54,61.82,2956
"Piura","Ayabaca","Lagunas",3043,25.84,41.7,6625
"Piura","Ayabaca","Montero",3141,16.03,61.06,7337
"Piura","Ayabaca","Pacaipampa",9260,32.18,66.14,24760
"Piura","Ayabaca","Paimas",3347,16.48,60.68,9638
"Piura","Ayabaca","Sapillica",3964,23.53,73.02,11127
"Piura","Ayabaca","Sicchez",1109,13.19,50.66,2274
"Piura","Ayabaca","Suyo",4528,7.05,49.77,11951
"Piura","Huancabamba","Canchaque",3663,16.48,45.63,8957
"Piura","Huancabamba","El Carmen de la Frontera",6252,19.98,53.08,12681
"Piura","Huancabamba","Huancabamba",13691,22.21,54.74,30116
"Piura","Huancabamba","Huarmaca",20774,27.85,65.01,39416
